116,Hellas Verona,Verona,Italy,Serie A,Stadio Marc'Antonio Bentegodi,38402,10.9686559,45.4353091
117,Angers SCO,Angers,France,Ligue 1,Stade Jean-Bouin,18000,-0.530794,47.4604315
118,SC Bastia,Bastia,France,Ligue 1,Stade Armand Cesari,16480,9.442619,42.6514
119,Girondins de Bordeaux,Bordeaux,France,Ligue 1,Stade Matmut Atlantique,42115,-0.5616023,44.8973882
120,SM Caen,Caen,France,Ligue 1,Stade Michel d'Ornano,21500,-0.3967094,49.1794872
121,GFC Ajaccio,Ajaccio,France,Ligue 1,Stade Francois Coty,10660,8.7763792,41.9309532
122,EA Guingamp,Guingamp,France,Ligue 1,Stade du Roudourou,18126,-3.1643843,48.5660863
123,Lille OSC,Lille,France,Ligue 1,Stade Pierre-Mauroy,50186,3.1304899,50.6119667
124,FC Lorient,Lorient,France,Ligue 1,Stade du Moustoir,18500,-3.3692827,47.7487894
125,Olympique Lyonnais,Lyon,France,Ligue 1,Parc Olympique Lyonnais,59186,4.9767148,45.7697417
126,Olympique de Marseille,Marseille,France,Ligue 1,Stade Velodrome,67000,5.3958873,43.269827
127,AS Monaco,Monaco,Monaco,Ligue 1,Stade Louis II,18523,7.4155355,43.7275562
128,Montpellier HSC,Montpellier,France,Ligue 1,Stade de la Mosson,32900,3.8119627,43.6221667
129,FC Nantes,Nantes,France,Ligue 1,La Beaujoire-Louis Fonteneau,38285,-1.5247253,47.2560513
130,OGC Nice,Nice,France,Ligue 1,Allianz Riviera,35624,7.1925914,43.7051335
131,Paris Saint-Germain,Paris,France,Ligue 1,Parc des Princes,48712,2.2530487,48.8414356
132,Stade Rennais,Rennes,France,Ligue 1,Roazhon Park,29778,-1.7129927,48.1074494
133,Stade de Reims,Reims,France,Ligue 1,Stade Auguste Delaune,21684,4.0247673,49.2471494
134,AS Saint-Etienne,Saint-Etienne,France,Ligue 1,Stade Geoffroy-Guichard,42000,4.3901162,45.4607318
135,Toulouse FC,Toulouse,France,Ligue 1,Stadium Municipal,33150,1.434048,43.5832972
136,ESTAC Troyes,Troyes,France,Ligue 1,Stade de l'Aube,21684,4.0984348,48.3075473
